hospital_id,NO_FANTASIA,NO_LOGRADOURO,Unnamed: 3,EMPRESA_RESP_PSA,EMPRESA_RESP_PSI,EMPRESA_RESP_UTIA,EMPRESA_RESP_UTIPED,EMPRESA_RESP_ANESTESIA,EMPRESA_RESP_UIA,EMPRESA_RESP_UIP,NO_BAIRRO,NU_ENDERECO,CO_CEP,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE
157,HOSPITAL VIDAS ALTA COMPLEXIDADE,PROFA MARIA DE LOURDES DE S NOGUEIRA,,,,,,,,,VILA GEA,89,4692000,11 33219450,-23.675.383.452.300.900,-4.668.650.060.892.100
158,HOSPITAL ALVORADA MOEMA,AVENIDA IBIRAPUERA,,,,,,,,,INDIANOPOLIS,1942,4028001,(11) 3375-3258,-2.360.158.052.899.780,-4.666.059.851.005.420
159,HOSP STA CECILIA,PRC MARECHAL DEODORO,,,,,,,,,SANTA CECILIA,149,1150011,38237000,-23.548,-46.636
160,UNIDADE AVANCADA HOSPITAL SALVALUS,RUA HIPODROMO,,,,,,,,,MOOCA,987,3164140,27996500,-235.474.185.696.903,-4.660.681.460.025.130
161,HOSP DOM ALVARENGA,NAZARE,,,,,,,,,IPIRANGA,1361,4263200,,-23.596.356.399.999.900,-4.660.887.429.790.990
162,HOSP VERA CRUZ,R ALTO PARAGUAI,,,,,,,,,J MODELO,362,2238240,11 21987222,-23.548,-46.636
163,HOSP DE CLINICAS J HELENA,RUA ERVA ANDORINHA,,,,,,,,,JARDIM HELENA,123,8090470,(11)65811999,-23.548,-46.636
164,HOSPITAL SANCTA MAGGIORE,RUA CRISTIANO VIANA,,,,,,,,,PINHEIROS,890,5411001,40859195,-235.554.299,-466.796.969
165,UNIDADE AVANCADA EINSTEIN PERDIZES,RUA APIACAS,,,,,,,,,PERDIZES,85,5017020,11 2151-6224,-23.548,-46.636
166,HSANP HOSPITAL,RUA VOLUNTARIOS DA PATRIA,,,,,,,,,SANTANA,2786,2402100,(11) 3405-8200,-234.957.474,-466.282.838
167,HOSPITAL E MATERNIDADE LEONOR MENDES DE BARROS SAO PAULO,AV CELSO GARCIA,,,,,,,,,BELENZINHO,2477,3015000,(11) 6694-4987,-23.548,-46.636
168,HOSPITAL ESTADUAL DE VILA ALPINA ORG SOCIAL SECONCI SAO PAUL,AV FRANCISCO FALCONI,,,,,,,,,VILA ALPINA,1501,3227000,(11) 2318-2100,-23.548,-46.636
169,HOSPITAL REGIONAL SUL SAO PAULO,RUA GENERAL ROBERTO ALVES DE CARVALHO FILHO,,,,,,,,,SANTO AMARO,270,4744000,(11) 5694-8259,-23.548,-46.636
170,CENTRO MEDICO PMESP,AVENIDA NOVA CANTAREIRA,,,,,,,,,TREMEMBE,3659,2341001,(11) 2109-3755,-23.469.156,-46.618.354
171,HOSPITAL DIA DR IVAN VARGAS,AV DR ARNALDO,,,,,,,,,SUMARE,1887,1255000,(11) 96784-8425,-235.519.971,-466.760.379
172,HOSPITAL INFANTIL SABARA UNIDADE 2,AVENIDA ANGELICA,,,,,,,,,HIGIENOPOLIS,1920,1228200,11-31552800,-23.549.246,-46.659.569
173,HOSPITAL E MATERNIDADE VIDAS LTDA,NSRA DE SABARA,,,,,,,,,VILA SANTANA,2375,4685006,11 33219450,-23.674.972,-46.685.624
174,HOSPITAL SANTA CLARA,JOAQUIM MARRA,,,,,,,,,VILA MATILDE,138,3514000,11 39874411,-23.533.310.679.265.200,-4.652.738.395.268.830
175,HOSPITAL PARANAGUA,AVENIDA PARANAGUA,,,,,,,,,VILA PARANAGUA,808,3806000,(11) 2542-4000,-23.498.755.433.163.200,-4.647.743.046.283.720
176,HOSPITAL E PRONTO ATENDIMENTO SANCTA MAGGIORE RUSSIA,AVENIDA PROFESSOR FRANCISCO MORATO,,,,,,,,,BUTANTA,1133,5513100,(11) 40859000,-235.853.458,-467.215.587
177,A C CAMARGO CANCER CENTER UNIDADE PIRES DA MOTA,PIRES DA MOTA,,,,,,,,,ACLIMACAO,1167,1529001,11 21895000,-23.570.713.551.298.900,-4.663.848.638.534.540
178,HOSPITAL PSIQUIATRICO DE VILA MARIANA,RUA MAJOR MARAGLIANO,,,,,,,,,VILA MARIANA,241,4017030,(11) 3466-2100,-23.548,-46.636
179,HOSPITAL GERAL DE SAO MATEUS SAO PAULO,RUA ANGELO DE CANDIA,,,,,,,,,SAO MATEUS,540,3958000,(11) 2014-5148,-23.548,-46.636
180,BP HOSPITAL FILANTROPICO,RUA GENERAL SOCRATES,,,,,,,,,PENHA DE FRANCA,145,3632040,,-23.548,-46.636
181,IBCC UNIDADE JACANA,RUA ROQUE DE PAULA MONTEIRO,,,,,,,,,JACANA,245,2272000,22489950,-23.548,-46.636
182,HOSPITAL GRAACC INSTITUTO DE ONCOLOGIA PEDIATRICA IOP,RUA PEDRO DE TOLEDO,,,,,,,,,VILA CLEMENTINO,572,4039001,(11)50808400,-23.548,-46.636
183,HOSPITAL SANTA ISABEL,R DONA VERIDIANA,,,,,,,,,VILA BUARQUE,311,1238010,(11)2176-1422,-23.542.674.681.744.600,-4.665.078.163.146.970
184,HOSPITAL E MATERNIDADE METROPOLITANO,MARCELINA,,,,,,,,,VILA ROMANA,441,5044010,21 38051000,-23.530.499.859.227.800,-466.971.892.118.454
185,CEMA HOSP ESPEC,RUA PADRE ADELINO,,,,,,,,,QUARTA PARADA,333,3303000,11 26024145,-235.450.186,-46.590.726.599.409.700
186,IBCC,AV ALCANTARA MACHADO,,,,,,,,,MOOCA,2576,3102002,(11) 34744223,-23.547.197.042.922.500,-4.660.032.592.842.180
187,HOSPITAL MILITAR DE AREA DE SAO PAULO,RUA OUVIDOR PORTUGAL,,,,,,,,,CAMBUCI,230,1551000,,-23.569,-46.614
188,SAO LUIZ UNIDADE MORUMBI,RUA ENGENHEIRO OSCAR AMERICANO,,,,,,,,,MORUMBI,840,5673050,(11) 3093- 1100,-23.575.944.975.344.600,-4.663.627.624.511.710
189,HOSPITAL E MATERNIDADE NOSSA SENHORA DO ROSARIO,DR EDSON DE MELO,,,,,,,,,VILA MARIA ALTA,357,2122080,01131552072,-23.548,-46.636
190,ASSOC AACD V CLEMENTINO,AVN PROF ASCENDINO REIS,,,,,,,,,VIL CLEMENTINO,724,4027000,(11)55760883,-23.548,-46.636
191,HOSP MUN TIDE SETUBAL,RUA DR JOSE GUILHERME EIRAS,,,,,,,,,SAO MIGUEL PAULISTA,123,8010220,(11)33948770,-23.548,-46.636
192,HOSPITAL INFANTIL DARCY VARGAS UGA III SAO PAULO,RUA DR SERAFICO DE ASSIS CARVALHO,,,,,,,,,JARDIM GUEDALA,34,4024002,(11)37233700,-23.548,-46.636
193,HOSPITAL A C CAMARGO TAMANDARE,TAMANDARE,,,,,,,,,LIBERDADE,753,1525000,(11)2189-5220,-23.565.442.582.480.200,-4.663.593.292.236.320
194,HOSP SAO LUIZ ANALIA FRANCO,FRANCISCO MARENGO,,,,,,,,,TATUAPE,1312,3313000,(11) 3386-1100,-23.548.920.250.000.000,-46.558.245.248.775.300
195,EYE CLINIC IBIRAPUERA,AVENIDA REPUBLICA DO LIBANO,,,,,,,,,IBIRAPUERA,1034,4502001,(11) 3059-2020,-235.811.267,-466.632.759
196,A C CAMARGO CANCER CENTER,RUA PROFESSOR ANTONIO PRUDENTE,,,,,,,,,LIBERDADE,211,1509900,11 21895220,-23.565.479,-466.379.025
197,CONJUNTO HOSPITALAR DO MANDAQUI SAO PAULO,RUA VOLUNTARIOS DA PATRIA,,,,,,,,,SANTANA,4301,2401400,(11) 2281-5000,-23.548,-46.636
198,ASSOCIACAO HOSPITAL PERSONAL CUIDADOS ESPECIAIS,RUA CAME,,,,,,,,,PARQUE DA MOOCA,1016,3121020,1120293030,-235.668.284,-465.960.781
199,MATERNIDADE SANTA MARIA,LEONCIO DE CARVALHO,,,,,,,,,PARAISO,233,4003010,11 50806000,-2.357.206,-4.664.690
200,HOSP MUN VER JOSE STOROPOLLI,RUA FRANCISCO FANGANIELLO,,,,,,,,,PARQUE NOVO MUNDO,127,2181160,11 22079000,-23.522.177.868.910.800,-4.656.327.334.507.770
201,HOSPITAL GERIATRICO E DE CONVALESCENTES D PEDRO II,AV GUAPIRA,,,,,,,,,JACANA,2674,2265002,(11)21761200,-23.466.661.367.495.900,-4.658.378.005.027.770
202,INST SUEL ABUJAMRA,RUA TAMANDARE,,,,,,,,,ACLIMACAO,693,1525001,11 37773026,-23.564.767.384.924.300,-4.663.559.652.968.130
203,PREMIER RESIDENCE HOSPITAL,RUA JURUBATUBA,,,,,,,,,VILA CORDEIRO,461,4583100,5090 5000,-2.361.517.400.933.260,-4.669.410.467.147.820
204,HOSPITAL NIPO BRASILEIRO,RUA PISTOIA,,,,,,,,,PARQUE NOVO MUNDO,100,2189000,(11)26332200,-235.080.145,-46.568.621.500.000.000
205,HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO,RUA DR OVIDIO PIRES DE CAMPOS,,,,,,,,,CERQUEIRA CESAR,225,5403010,(11)3087-5456,-23.556.591.599.413.400,-46.672.325.134.277.300
206,JML SERVICOS HOSPITALARES,RUA JOSE MARIA LISBOA,,,,,,,,,JARDIM PAULISTA,659,1423001,(11) 2012-4451,-235.676.438,-46.658.462
207,HOSPITAL SAO CAMILO POMPEIA 2,RUA BARAO DO BANANAL,,,,,,,,,VILA POMPEIA,1086,5024000,(11) 3677 4444,-23.533.699.209.757.100,-4.668.907.821.178.430
208,HOSPITAL DIA SANTO AMARO,AV ADOLFO PINHEIRO,,,,,,,,,SANTO AMARO,339,4753060,11 55556767,-23.649.689,-46.704.271
209,HOSPITAL SILVIO ROMERO,RUA FERNANDES PINHEIRO,,,,,,,,,VILA AZEVEDO,268,3308060,(11) 2227-9040,-235.418.774,-465.719.665
210,HOSPITAL CENTRAL DE GUAIANASES,RUA CABO JOSE TEIXEIRA,,,,,,,,,GUAIANAZES,189,8451010,(11) 25515151,-2.353.790.175,-464.031.351.868.007
211,HOSPITAL GREEN HILL,RUA BOM PASTOR,,,,,,,,,IPIRANGA,905,4203050,11 45069888,-23.548,-46.636
212,HOSPITAL BOSQUE DA SAUDE,AV BOSQUE DA SAUDE,,,,,,,,,SAUDE,1926,4142082,55917505,-23.613.287.670.536.800,-46.620.307.788.740.000
213,HOSPITAL DA CRUZ VERMELHA BRASILEIRA,AVENIDA MOREIRA GUIMARAES,,,,,,,,,INDIANOPOLIS,699,4074031,5056-8674/5056-8710,-23.548,-46.636
214,INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA IDPC SAO PAULO,AV DR DANTE PAZZANESE,,,,,,,,,IBIRAPUERA,500,4012180,(11) 5549-1538,-23.548,-46.636
215,HOSPITAL SAO CAMILO IPIRANGA,POUSO ALEGRE,,,,,,,,,IPIRANGA,1,4261030,11 20667000,-235.828.696,-466.117.035
216,HOSPITAL ADVENTISTA DE SAO PAULO,ROCHA POMBO,,,,,,,,,LIBERDADE,49,1525010,,-235.635.872,-466.352.581
217,INSTITUTO VIDA E SAUDE,RUA FERNANDES PINHEIRO,,,,,,,,,TATUAPE,268,3308060,11 22279040,-235.418.774,-465.719.665
218,HOSPITAL E MATERNIDADE JARDINS LTDA,ARTUR DE AZEVEDO,,,,,,,,,PINHEIROS,1659,5404014,,-23.548,-46.636
219,HOSP IGESP PAULISTA,SILVIA,,,,,,,,,BELA VISTA,276,1331010,,-232.681.564,-467.329.013
220,HOSPITAL OSWALDO CRUZ,RUA JOAO JULIAO,,,,,,,,,PARAISO,331,1323020,(11)3549-1907,-23.325,-46.381
221,HOSPITAL SIRIO LIBANES,RUA DONA ADMA JAFET,,,,,,,,,CERQUEIRA CESAR,91,1308050,1133943801,-2.355.714.234.464.360,-46.654.343.605.041.500
222,HOSP MAT SAO CRISTOVAO,RUA AMERICO VENTURA,,,,,,,,,ALTO DA MOOCA,123,3128020,11 20297416,-23.548,-46.636
223,HOSP 9 DE JULHO,RUA PEIXOTO GOMIDE,,,,,,,,,BELA VISTA,625,1409902,(11)32533411,-235.595.206,-466.557.905
224,HOSPITAL CENTRAL DO TATUAPE,PADRE ADELINO,,,,,,,,,IV PARADA,901,3303000,11 20620000,-235.440.866,-465.850.511
225,DAY HOSPITAL DE ERMELINO MATARAZZO,AV ABEL TAVARES,,,,,,,,,ERMELINO MATARAZZO,2576,3810110,(11) 3488-5400,-23.485,-46.481
226,HOSP INDEPENDENCIA,RUA URUCURANA,,,,,,,,,JARDIM PEDRO JOSE NU,1,8061100,(11)20306000,-23.548,-46.636
227,HOSP MAT 8 DE MAIO,RUA RAFAEL MONTEIRO VALEIRO,,,,,,,,,ITAIM PAULISTA,18,8140020,(11)65610908,-23.548,-46.636
228,MASTER CLIN,RUA DR GALVAO GUIMARAES,,,,,,,,,SAO MATEUS,72,3970040,11 2177-4444,-23.548,-46.636
229,HOSP MUN PIRITUBA JOSE SOARES HUNGRIA,MENOTTI LAUDISIO,,,,,,,,,PIRITUBA,100,2945000,,-2.348.665,-4.672.841
230,ASSOCIACAO HOSPITALAR SAO MIGUEL,RUA ABEL TAVARES,,,,,,,,,JARDIM BELEM,21,3810110,(11) 2956-9022,-234.862.481,-464.741.743
231,HOSPITAL SAINT PATRICK PORTINARI,PC GAL GUIMARAES,,,,,,,,,VILA JAGUARA,77,5114110,1138819246,-235.084.478,-467.534.847
232,CEMED CORTA VENTO,R CORTA VENTO,,,,,,,,,TATUAPE,28,3313010,(11) 3386-1400,-23.549.356,-465.588.729
233,ICONE DA VISAO,AVENIDA CIDADE JARDIM,,,,,,,,,ITAIM BIBI,163,1453000,40002662,-23.578.382.894.600.400,-4.668.212.708.835.530
234,HOSPITAL VILA NOVA STAR II,R DR ALCEU DE CAMPOS RODRIGUES,,,,,,,,,VILA NOVA CONCEICAO,95,4544000,(11) 3040-1455,-2.359.068.825,-466.731.421.336.799
235,HSM VERGUEIRO,VERGUEIRO,,,,,,,,,LIBERDADE,17,1504001,11 35490032,-2.356.191,-4.663.821
236,ASSOCIACAO HOSPITALAR PLATINUM,R GUAIPA,,,,,,,,,VILA LEOPOLDINA,509,5089001,,-23.521.191.564.036.700,-46.727.119.735.097.900
